"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-05	2022-02-05 10:17:15	345	"c1931 "	15605	0	130582	60	124416	1182	6	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"3"
2022-02-05	2022-02-05 10:17:24	946	"c1931 "	15605	0	17909	47	124928	564	4	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"9"
2022-02-05	2022-02-05 10:17:38	993	"c1935 "	159	0	111945	39	126208	426	3	1	"01103F7DB1"	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"firstVisit"
2022-02-05	2022-02-05 10:17:57	380	"c1937 "	2755	0	35759	33	0	614	2	1	"01103F7DB1"	"F03"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"firstVisit"
2022-02-05	2022-02-05 10:18:00	395	"c1937 "	2755	0	13947	39	0	779	3	1	"01103F7DB1"	"F03"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"3"
2022-02-05	2022-02-05 10:18:04	372	"c1937 "	2755	0	15947	27	125952	142	1	1	"01103F7DB1"	"F03"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"4"
2022-02-05	2022-02-05 10:24:20	345	"c1931 "	15605	0	15672	26	124160	148	1	1	"01103F49F0"	"F02"	"03/10/2021"	"11:49"	"R"	"AAJ5755"	"GT"	"R"	4	"M"	77	18.3	"firstVisit"
2022-02-05	2022-02-05 10:24:26	348	"c1931 "	15605	0	15912	39	124672	420	3	1	"01103F49F0"	"F02"	"03/10/2021"	"11:49"	"R"	"AAJ5755"	"GT"	"R"	4	"M"	77	18.3	"4"
2022-02-05	2022-02-05 10:24:32	573	"c1931 "	15605	0	3912	27	124672	178	1	1	"01103F49F0"	"F02"	"03/10/2021"	"11:49"	"R"	"AAJ5755"	"GT"	"R"	4	"M"	77	18.3	"6"
2022-02-05	2022-02-05 10:24:39	492	"c1937 "	2756	0	15948	52	126464	946	5	1	"01103FC958"	"F03"	"15/01/2021"	"12:20"	"R"	"AAJ5701"	"BT"	"R"	6	"F"	64	10.2	"firstVisit"
